address,price_$,beds,bath,place,size_sq.ft
2223A 24th Ave N,695000,3.0,4.0,"Nashville, TN, 37208",2156.0
1226 N 2nd St,433000,2.0,1.0,"Nashville, TN, 37207",1058.0
1814 Willow Springs Dr,620000,3.0,2.0,"Nashville, TN, 37216",1414.0
313 Kingview Dr,330000,4.0,2.0,"Nashville, TN, 37218",1511.0
6069 Pasquo Rd,1699900,4.0,4.0,"Nashville, TN, 37221",3878.0
2134 Fairfax Ave Apt A11,217500,1.0,1.0,"Nashville, TN, 37212",552.0
1677 54th Ave N 134,449858,2.0,2.0,"Nashville, TN, 37209",1146.0
4353 Skyridge Dr,464170,4.0,3.0,"Nashville, TN, 37207",1934.0
4324 Skyridge Dr,492570,3.0,3.0,"Nashville, TN, 37207",1749.0
2020 Castleman Dr,1200000,4.0,2.0,"Nashville, TN, 37215",3461.0
4107 Saunders Ave,239500,0.71,,"Nashville, TN, 37216",
4109 Saunders Ave,249500,0.71,,"Nashville, TN, 37216",
1501 Pineview Dr,360000,3.0,2.0,"Nashville, TN, 37207",1180.0
505 Croley Dr,900000,4.0,4.0,"Nashville, TN, 37209",2422.0
5809 Woodland Hills Dr,295000,0.27,,"Nashville, TN, 37211",
4128 Ashland City Hwy,1100000,2.49,,"Nashville, TN, 37218",
2403 Belmont Blvd,2650000,3.0,4.0,"Nashville, TN, 37212",3515.0
1108 Cabana Dr,285000,2.0,1.0,"Nashville, TN, 37214",1127.0
1217 Nichol Ln,1400000,0.0,,"Nashville, TN, 37205",
4303 Earlene Dr,685000,3.0,3.0,"Nashville, TN, 37216",1761.0
4131 W Hamilton Rd,725000,4.0,6.0,"Nashville, TN, 37218",5460.0
8848 Highway 100,899000,3.0,3.0,"Nashville, TN, 37221",3596.0
2510 Ridgewood Dr,3470000,4.0,5.0,"Nashville, TN, 37215",4366.0
3410 Shelby Bottoms Bnd,739900,4.0,4.0,"Nashville, TN, 37206",2118.0
400 McIver St,449000,3.0,3.0,"Nashville, TN, 37211",1407.0
1410 Rosa L Parks Blvd 60,840000,2.0,2.0,"Nashville, TN, 37208",1878.0
2805 Alhambra Cir,380000,2.0,1.0,"Nashville, TN, 37207",1050.0
1110A N 6th St,950000,4.0,3.0,"Nashville, TN, 37207",2208.0
4958 Edmondson Pike 23,212500,2.0,3.0,"Nashville, TN, 37211",1134.0
1606 7th Ave N # B,1559000,4.0,4.0,"Nashville, TN, 37208",3034.0
5515 Country Dr 43,249990,3.0,2.0,"Nashville, TN, 37211",1334.0
4009 Fairview Dr,349000,3.0,2.0,"Nashville, TN, 37218",1086.0
1717 Knowles St,469900,,,"Nashville, TN, 37208",
2824 Westwood Ave 2824,435000,2.0,2.0,"Nashville, TN, 37212",1270.0
3712 Faulkner Dr,491000,4.0,3.0,"Nashville, TN, 37211",1560.0
1227 Battlefield Dr,875000,2.0,1.0,"Nashville, TN, 37215",1403.0
2080 Whitney Ave,485000,3.0,2.0,"Nashville, TN, 37210",1186.0
159 Antioch Pike,650000,3.0,3.0,"Nashville, TN, 37211",2143.0
1102 Kellow St,649900,3.0,4.0,"Nashville, TN, 37208",1950.0
910B Spain Ave,659900,3.0,3.0,"Nashville, TN, 37216",1950.0
2008 Natchez Trace,1775000,5.0,5.0,"Nashville, TN, 37212",4450.0
3402 Elkins Ave,1699000,5.0,4.0,"Nashville, TN, 37209",4029.0
2605D Traughber Dr,620000,3.0,3.0,"Nashville, TN, 37206",2920.0
3056 Reelfoot Dr,402000,3.0,2.0,"Nashville, TN, 37214",1468.0
2600 Hillsboro Pike 219,569999,2.0,2.0,"Nashville, TN, 37212",1556.0
119 Acklen Park Dr 202,850000,3.0,3.0,"Nashville, TN, 37203",1566.0
721 Lambert Dr,1050000,4.0,3.0,"Nashville, TN, 37220",2769.0
5017 Hasty Dr,424900,2.0,1.0,"Nashville, TN, 37211",1433.0
4189 Providence Park Ln,335000,3.0,2.0,"Nashville, TN, 37211",1131.0
563 McMurray Dr,399900,2.0,1.0,"Nashville, TN, 37211",1156.0
180 9th Ave N N,1250000,3.0,2.0,"Nashville, TN, 37203",2253.0
636 Magnolia Ln,525000,3.0,3.0,"Nashville, TN, 37211",2428.0
2001 Avalon Dr,485000,3.0,2.0,"Nashville, TN, 37216",1912.0
1124 Battery Ln,1599900,4.0,5.0,"Nashville, TN, 37220",3958.0
711 Drummond Dr,549000,4.0,2.0,"Nashville, TN, 37211",1628.0
102 Sheffield Ct,1099000,4.0,3.0,"Nashville, TN, 37215",3117.0
4958 Edmondson Pike 10,214900,2.0,2.0,"Nashville, TN, 37211",1134.0
2329 Brittany Dr,549000,3.0,3.0,"Nashville, TN, 37206",1968.0
953 44th Ave N,17000000,,,"Nashville, TN, 37209",
515 Basswood Ave 95,219500,2.0,1.0,"Nashville, TN, 37209",968.0
104 Windsor Terrace Dr,474000,2.0,3.0,"Nashville, TN, 37221",1438.0
860 Clematis Drive,629000,6.0,4.0,"Nashville, TN, 37205",3060.0
2060 Nashboro Blvd,295000,3.0,3.0,"Nashville, TN, 37217",1488.0
3406 Belmont Blvd,3100000,5.0,5.0,"Nashville, TN, 37215",4775.0
919 Manila Ave,1550000,4.0,4.0,"Nashville, TN, 37206",3244.0
1406A Lischey Ave,695000,4.0,3.0,"Nashville, TN, 37207",2094.0
1216 Luckett Rd,1199900,4.0,4.0,"Nashville, TN, 37221",3066.0
6359 Chickering Cir,1350000,4.0,4.0,"Nashville, TN, 37215",3496.0
7913 Haydenberry Ct,699900,4.0,4.0,"Nashville, TN, 37221",3575.0
1003B Summitt Avenue,999900,4.0,4.0,"Nashville, TN, 37203",2905.0
1003A Summit Avenue,999900,4.0,4.0,"Nashville, TN, 37203",2905.0
1736 Eastwick Ln,599900,4.0,3.0,"Nashville, TN, 37221",2444.0
1442 McAlpine Ave,649900,5.0,3.0,"Nashville, TN, 37216",2987.0
5925 Robertson Ave,599900,3.0,3.0,"Nashville, TN, 37209",1600.0
1606 16th Ave S B,1299900,4.0,3.0,"Nashville, TN, 37212",1872.0
1606 16th Ave S,2199800,7.0,5.0,"Nashville, TN, 37212",3006.0
1708B Allison Pl,799000,3.0,3.0,"Nashville, TN, 37203",2199.0
701 S 14th St,985000,3.0,3.0,"Nashville, TN, 37206",2610.0
205 Cherokee Rd,1200000,3.0,4.0,"Nashville, TN, 37205",3116.0
503 Coffee St,1250000,4.0,5.0,"Nashville, TN, 37208",3457.0
8618 Gauphin Pl,399990,3.0,3.0,"Nashville, TN, 37211",1320.0
1118 Litton Ave,319900,1.0,1.0,"Nashville, TN, 37216",883.0
7453 Sawyer Brown Rd,550000,4.0,3.0,"Nashville, TN, 37209",2280.0
1740 Haleys Hope Ct,539900,3.0,2.0,"Nashville, TN, 37209",2114.0
2218 Wickson Ave B,550000,3.0,3.0,"Nashville, TN, 37210",2085.0
2705 N Highlands Dr,795000,4.0,3.0,"Nashville, TN, 37221",2847.0
214 Old Hickory Blvd 179,250000,2.0,2.0,"Nashville, TN, 37221",1116.0
1811 Tammany Drive B,689000,4.0,3.0,"Nashville, TN, 37216",2101.0
1310 Greenfield Ave,499000,3.0,1.0,"Nashville, TN, 37216",1114.0
731 Lake Terrace Dr,239900,2.0,2.0,"Nashville, TN, 37217",1024.0
1510 62nd Ave N,825000,4.0,4.0,"Nashville, TN, 37209",2329.0
2401B Santi Ave,349900,2.0,1.0,"Nashville, TN, 37208",718.0
613 Cobble Ct,527000,3.0,3.0,"Nashville, TN, 37211",2424.0
1606 16th Ave S A,899900,3.0,2.0,"Nashville, TN, 37212",1134.0
5032 N Hilson Dr,575000,3.0,3.0,"Nashville, TN, 37211",1997.0
1212 Laurel St #1211,609900,1.0,1.0,"Nashville, TN, 37203",765.0
1699 Lischey Ave,844900,4.0,3.0,"Nashville, TN, 37207",2417.0
1108 Kellow St,369900,3.0,2.0,"Nashville, TN, 37208",1000.0
1110 Stratford Ave,800000,3.0,3.0,"Nashville, TN, 37216",1880.0
1456 Janie Ave,750000,4.0,3.0,"Nashville, TN, 37216",2150.0
2861 Old Matthews Rd,359900,3.0,2.0,"Nashville, TN, 37207",1120.0
1521 Lincoya Bay Dr,399000,3.0,3.0,"Nashville, TN, 37214",1842.0
1677 54th Ave N 404,389900,1.0,1.0,"Nashville, TN, 37209",705.0
1677 54th Ave N 406,399900,1.0,1.0,"Nashville, TN, 37209",705.0
708 S 14th St,649999,,,"Nashville, TN, 37206",
20 Lucile St,3500000,0.0,,"Nashville, TN, 37207",
